Service,Request,Result,Quality,HTTP Status,Response Time (ms)
GigaChat,"390000, г. Рязань, ул. Почтовая, д. 49","Координаты адреса «390000, г. Рязань, ул. Почтовая, д. 49»: **54.6583° N, 39.4333° E**  
Или в указанном формате: **latitude 54.6583, longitude 39.4333**.",-,200,605.98
Yandex,"398055, г. Липецк, пр. Победы, д. 29",52.596208 39.568758,number,200,160.52
DaData,"398055, г. Липецк, пр. Победы, д. 29",,network error: 0,0,2237.84
GigaChat,"398055, г. Липецк, пр. Победы, д. 29","Координаты адреса «398055, г. Липецк, пр. Победы, д. 29»: **52.5456° N, 39.2833° E**  
Или в нужном тебе формате: **latitude 52.5456, longitude 39.2833**.",-,200,637.0
Yandex,"392000, г. Тамбов, ул. Интернациональная, д. 15",52.721841 41.453028,exact,200,137.85
DaData,"392000, г. Тамбов, ул. Интернациональная, д. 15",,network error: 0,0,2229.54
GigaChat,"392000, г. Тамбов, ул. Интернациональная, д. 15","Координаты адреса «392000, г. Тамбов, ул. Интернациональная, д. 15»: **52.6381° N, 40.1736° E**  
Или в указанном тобой формате: **latitude 52.6381, longitude 40.1736**.",-,200,637.74
Yandex,"432071, г. Ульяновск, ул. Гончарова, д. 18",54.313635 48.396386,exact,200,102.64
DaData,"432071, г. Ульяновск, ул. Гончарова, д. 18",,network error: 0,0,2269.48
GigaChat,"432071, г. Ульяновск, ул. Гончарова, д. 18","Координаты адреса «432071, г. Ульяновск, ул. Гончарова, д. 18»: **54.29306, 48.65972**  
(широта latitude: 54.29306, долгота longitude: 48.65972)",-,200,632.27
Yandex,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",44.608564 40.104423,exact,200,115.9
DaData,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29",,network error: 0,0,2172.81
GigaChat,"385000, г. Майкоп, ул. Краснооктябрьская, д. 29","Координаты адреса «385000, г. Майкоп, ул. Краснооктябрьская, д. 29»: **44.9984° N, 40.9767° E**  
Или в указанном формате: **latitude 44.9984, longitude 40.9767**.",-,200,661.22
Yandex,"426034, г. Ижевск, ул. Советская, д. 1",56.844707 53.199291,exact,200,282.93
DaData,"426034, г. Ижевск, ул. Советская, д. 1",,network error: 0,0,2229.77
GigaChat,"426034, г. Ижевск, ул. Советская, д. 1","Координаты адреса «426034, г. Ижевск, ул. Советская, д. 1» примерно равны:

**latitude:** `56.8493`  
**longitude:** `53.1948`",-,200,509.47
Yandex,"667010, г. Кызыл, ул. Ленина, д. 33",51.720074 94.439598,exact,200,204.99
DaData,"667010, г. Кызыл, ул. Ленина, д. 33",,network error: 0,0,2285.32
GigaChat,"667010, г. Кызыл, ул. Ленина, д. 33","Координаты адреса «667010, г. Кызыл, ул. Ленина, д. 33»: **52.9833° N, 92.8167° E**  
latitude: 52.9833  
longitude: 92.8167",-,200,570.08
Yandex,"655017, г. Абакан, ул. Ленина, д. 67",53.721642 91.442226,exact,200,221.72
DaData,"655017, г. Абакан, ул. Ленина, д. 67",,network error: 0,0,2233.3
GigaChat,"655017, г. Абакан, ул. Ленина, д. 67","Координаты адреса «655017, г. Абакан, ул. Ленина, д. 67»: **52.6398° N, 92.7414° E**  
Или в указанном формате: **latitude 52.6398, longitude 92.7414**.",-,200,662.87
Yandex,"629008, г. Салехард, ул. Республики, д. 40",66.526521 66.606871,exact,200,162.91
DaData,"629008, г. Салехард, ул. Республики, д. 40",,network error: 0,0,2223.21
GigaChat,"629008, г. Салехард, ул. Республики, д. 40","Координаты адреса «629008, г. Салехард, ул. Республики, д. 40»: **66.5333° N, 66.2333° E**  
Или в нужном тебе формате: **latitude 66.5333, longitude 66.2333**.",-,200,644.08
Yandex,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",53.011085 158.652783,exact,200,148.85
DaData,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14",,network error: 0,0,2233.67
GigaChat,"683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14","Координаты адреса «683031, г. Петропавловск-Камчатский, ул. Ленинская, д. 14»: **53.0198° N, 158.6833° E**  
Или в указанном формате: **latitude 53.0198, longitude 158.6833**.",-,200,886.14
Yandex,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",46.963134 142.727521,exact,200,242.37
DaData,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174",,network error: 0,0,2218.93
GigaChat,"693000, г. Южно-Сахалинск, ул. Ленина, д. 174","Координаты адреса «693000, г. Южно-Сахалинск, ул. Ленина, д. 174»: **53.1781° N, 142.5578° E**  
Или в формате, запрошенном вами: **latitude 53.1781, longitude 142.5578**.",-,200,901.78
Yandex,"685000, г. Магадан, пр. Ленина, д. 2",59.569044 150.80864,number,200,161.18
DaData,"685000, г. Магадан, пр. Ленина, д. 2",,network error: 0,0,2206.21
GigaChat,"685000, г. Магадан, пр. Ленина, д. 2","Координаты адреса «685000, г. Магадан, пр. Ленина, д. 2» примерно равны:

**latitude**: 59.4778  
**longitude**: 150.9333",-,200,688.44
Yandex,"689000, г. Анадырь, ул. Отке, д. 28",64.734993 177.51099,exact,200,121.21
DaData,"689000, г. Анадырь, ул. Отке, д. 28",,network error: 0,0,2216.12
GigaChat,"689000, г. Анадырь, ул. Отке, д. 28","Координаты адреса «689000, г. Анадырь, ул. Отке, д. 28»: **69.5167° N, 179.8333° E**  
Или в формате, запрошенном тобой: **latitude 69.5167, longitude 179.8333**.",-,200,661.77
Yandex,"249038, г. Обнинск, пр. Ленина, д. 85",55.099778 36.602674,exact,200,150.51
DaData,"249038, г. Обнинск, пр. Ленина, д. 85",,network error: 0,0,2211.45
GigaChat,"249038, г. Обнинск, пр. Ленина, д. 85","Координаты адреса «249038, г. Обнинск, пр. Ленина, д. 85» примерно равны:

**54.1944° N (54.1944 latitude)**  
**36.2189° E (36.2189 longitude)**",-,200,636.51
Yandex,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15",55.917844 37.869011,exact,200,165.06
DaData,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15",,network error: 0,0,2273.65
GigaChat,"141070, Московская обл., г. Королев, пр-т Космонавтов, д. 15","Координаты адреса «141070, Московская область, город Королев, проспект Космонавтов, дом 15» примерно равны:

**55.9385° N, 37.7764° E**  
latitude: **55.9385**  
longitude: **37.7764**",-,200,2293.91
Yandex,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15",56.010216 37.850434,exact,200,150.87
DaData,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15",,network error: 0,0,2204.3
GigaChat,"141200, Московская обл., г. Пушкино, ул. Московский пр., д. 15","Координаты адреса «141200, Московская область, город Пушкино, улица Московский проспект, дом 15» примерно равны:

**59.8139° N, 38.1361° E**

То есть в формате, указанном вами:  
**latitude: 59.8139, longitude: 38.1361**",-,200,708.55
Yandex,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138",60.0212 30.653707,exact,200,206.71
DaData,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138",,network error: 0,0,2212.66
GigaChat,"188640, Ленинградская обл., г. Всеволожск, Колтушское ш., д. 138","Координаты адреса «188640, Ленинградская область, г. Всеволожск, Колтушское шоссе, д. 138» примерно равны:

**59.7833° N, 30.2833° E**",-,200,757.52
Yandex,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25",60.710901 28.737582,exact,200,105.8
DaData,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25",,network error: 0,0,2224.61
GigaChat,"188800, Ленинградская обл., г. Выборг, ул. Крепостная, д. 25","Координаты адреса «188800, Ленинградская область, город Выборг, улица Крепостная, дом 25»: **61.8298° N, 28.7836° E**  
Или в нужном тебе формате: **latitude 61.8298, longitude 28.7836**.",-,200,629.91
Yandex,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15",57.255006 60.102988,exact,200,182.76
DaData,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15",,network error: 0,0,2219.58
GigaChat,"624130, Свердловская обл., г. Новоуральск, ул. Ленина, д. 15","Координаты адреса «624130, Свердловская область, город Новоуральск, улица Ленина, дом 15» примерно равны:

**56.8956° N, 60.7797° E**  
latitude: **56.8956**  
longitude: **60.7797**",-,200,834.46
Yandex,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30",55.769281 60.694367,exact,200,146.77
DaData,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30",,network error: 0,0,2240.38
GigaChat,"456780, Челябинская обл., г. Озерск, пр. Ленина, д. 30","Координаты адреса «456780, Челябинская область, город Озерск, проспект Ленина, дом 30» примерно равны:

**55.1984, 61.7456**",-,200,476.29
Yandex,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1",55.081375 21.889258,exact,200,562.51
DaData,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1",,network error: 0,0,2217.8
GigaChat,"238710, Калининградская обл., г. Советск, ул. Победы, д. 1","Координаты адреса «238710, Калининградская область, город Советск, улица Победы, дом 1»: **54.9333° N, 21.4167° E**  
Или в нужном тебе формате: **latitude 54.9333, longitude 21.4167**.",-,200,636.91
Yandex,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66",43.797429 131.953478,exact,200,120.88
DaData,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66",,network error: 0,0,2209.22
GigaChat,"692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66","Координаты адреса «692900, Приморский край, г. Уссурийск, ул. Некрасова, д. 66»: **43.8167° N, 132.3833° E**  
Или в формате, запрошенном вами: **latitude 43.8167, longitude 132.3833**.",-,200,901.84
Yandex,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25",53.190219 158.381465,near,200,162.16
DaData,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25",,network error: 0,0,2239.83
GigaChat,"683000, Камчатский край, г. Елизово, ул. Ленина, д. 25","Координаты адреса «683000, Камчатский край, г. Елизово, ул. Ленина, д. 25»: **53.9463° N, 158.5833° E**  
Или в формате, запрошенном вами: `latitude longitude`: **53.9463, 158.5833**.",-,200,838.55
Yandex,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7",48.581252 45.737624,exact,200,187.13
DaData,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7",,network error: 0,0,2202.65
GigaChat,"416540, Астраханская обл., г. Знаменск, ул. Ленина, д. 7","Координаты адреса «416540, Астраханская область, город Знаменск, улица Ленина, дом 7» примерно равны:

**latitude**: 46.0833  
**longitude**: 48.9167",-,200,505.3
Yandex,"141411, Московская обл., г. Химки, ул. Московская, д. 15",55.889083 37.445518,exact,200,159.33
DaData,"141411, Московская обл., г. Химки, ул. Московская, д. 15",,network error: 0,0,2230.68
GigaChat,"141411, Московская обл., г. Химки, ул. Московская, д. 15","Координаты адреса «141411, Московская область, город Химки, улица Московская, дом 15» примерно равны:

**55.7512° N, 37.4188° E**  
latitude: **55.7512**  
longitude: **37.4188**",-,200,837.29
Yandex,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9",55.751573 38.012139,exact,200,187.91
DaData,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9",,network error: 0,0,2182.58
GigaChat,"143980, Московская обл., г. Железнодорожный, ул. Советская, д. 9","Координаты адреса «143980, Московская область, город Железнодорожный, улица Советская, дом 9» примерно равны:

**latitude**: `55.7194`  
**longitude**: `37.8536`",-,200,488.48
Yandex,"196240, г. Санкт-Петербург, Московский пр., д. 216",59.848809 30.322327,exact,200,106.24
DaData,"196240, г. Санкт-Петербург, Московский пр., д. 216",,network error: 0,0,2257.89
GigaChat,"196240, г. Санкт-Петербург, Московский пр., д. 216","Координаты адреса «196240, г. Санкт-Петербург, Московский пр., д. 216»: **59.8953° N, 30.2575° E**  
Или в формате, запрошенном вами: `latitude longitude`:  
`59.8953 30.2575`",-,200,654.29
Yandex,"620026, г. Екатеринбург, ул. Белинского, д. 83",56.823094 60.619079,exact,200,131.39
DaData,"620026, г. Екатеринбург, ул. Белинского, д. 83",,network error: 0,0,2211.06
GigaChat,"620026, г. Екатеринбург, ул. Белинского, д. 83","Координаты адреса «620026, г. Екатеринбург, ул. Белинского, д. 83»: **56.8395° N, 60.6050° E**  
Или в формате, запрошенном вами: `latitude 56.8395, longitude 60.6050`",-,200,644.43
Yandex,"630073, г. Новосибирск, ул. Кирова, д. 44",55.018711 82.937848,exact,200,185.49
DaData,"630073, г. Новосибирск, ул. Кирова, д. 44",,network error: 0,0,2251.77
GigaChat,"630073, г. Новосибирск, ул. Кирова, д. 44","Координаты адреса «630073, г. Новосибирск, ул. Кирова, д. 44»: **55.8210° N, 82.9228° E**  
Или в указанном формате: **latitude 55.8210, longitude 82.9228**.",-,200,618.9
Yandex,"420111, г. Казань, ул. Баумана, д. 58",55.790291 49.115235,exact,200,95.09
DaData,"420111, г. Казань, ул. Баумана, д. 58",,network error: 0,0,2216.42
GigaChat,"420111, г. Казань, ул. Баумана, д. 58","Координаты адреса «420111, г. Казань, ул. Баумана, д. 58»: **55.7894° N, 49.0959° E**  
Или в формате, запрошенном вами: `latitude longitude`:  
`55.7894 49.0959`",-,200,666.84
Yandex,"603000, г. Нижний Новгород, ул. Рождественская, д. 43",56.327521 43.984247,exact,200,109.87
DaData,"603000, г. Нижний Новгород, ул. Рождественская, д. 43",,network error: 0,0,2221.88
GigaChat,"603000, г. Нижний Новгород, ул. Рождественская, д. 43","Координаты адреса «603000, г. Нижний Новгород, ул. Рождественская, д. 43»: **56.3298° N, 43.9614° E**  
Или в формате, запрошенном вами: `latitude longitude`:  
`56.3298 43.9614`",-,200,668.11
Yandex,"443010, г. Самара, ул. Ленинградская, д. 75",53.184996 50.100687,exact,200,131.93
DaData,"443010, г. Самара, ул. Ленинградская, д. 75",,network error: 0,0,2250.76
GigaChat,"443010, г. Самара, ул. Ленинградская, д. 75","Координаты адреса «443010, г. Самара, ул. Ленинградская, д. 75» примерно равны:

**latitude:** 53.2298  
**longitude:** 50.1833",-,200,682.96
Yandex,"454000, г. Челябинск, ул. Воровского, д. 2",55.159465 61.399185,exact,200,161.17
DaData,"454000, г. Челябинск, ул. Воровского, д. 2",,network error: 0,0,2218.72
GigaChat,"454000, г. Челябинск, ул. Воровского, д. 2","Координаты адреса «454000, г. Челябинск, ул. Воровского, д. 2» примерно равны:

**latitude**: 55.1893  
**longitude**: 61.4263",-,200,516.29
Yandex,"644043, г. Омск, ул. Красный Путь, д. 163",55.016461 73.318077,exact,200,152.29
DaData,"644043, г. Омск, ул. Красный Путь, д. 163",,network error: 0,0,2223.42
GigaChat,"644043, г. Омск, ул. Красный Путь, д. 163","Координаты адреса «644043, г. Омск, ул. Красный Путь, д. 163»: **55.0089° N, 82.6864° E**  
Или в нужном тебе формате: **latitude 55.0089, longitude 82.6864**.",-,200,823.73
Yandex,"119034, г. Москва, ул. Остоженка, д. 37/7",55.738414 37.596372,number,200,123.03
DaData,"119034, г. Москва, ул. Остоженка, д. 37/7",,network error: 0,0,2224.82
GigaChat,"119034, г. Москва, ул. Остоженка, д. 37/7","Координаты адреса «119034, г. Москва, ул. Остоженка, д. 37/7»: **55.7585° N, 37.5893° E**  
Или в нужном тебе формате: `latitude longitude`: **55.7585, 37.5893**.",-,200,841.69
Yandex,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22",59.92543 30.343716,number,200,138.73
DaData,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22",,network error: 0,0,2225.24
GigaChat,"191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22","Координаты адреса «191002, г. Санкт-Петербург, ул. Разъезжая, д. 5/22»: **59.9386° N, 30.3141° E**  
Или в указанном вами формате: `latitude longitude`: **59.9386, 30.3141**.",-,200,884.55
Yandex,"620075, г. Екатеринбург, ул. Малышева, д. 51/1",56.836106 60.61465,number,200,98.56
DaData,"620075, г. Екатеринбург, ул. Малышева, д. 51/1",,network error: 0,0,2241.56
GigaChat,"620075, г. Екатеринбург, ул. Малышева, д. 51/1","Координаты адреса «620075, г. Екатеринбург, ул. Малышева, д. 51/1»: **56.8395° N, 60.6050° E**  
Или в формате, запрошенном вами: `latitude 56.8395, longitude 60.6050`",-,200,664.89
Yandex,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2",55.036943 82.916333,exact,200,149.66
DaData,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2",,network error: 0,0,2175.4
GigaChat,"630004, г. Новосибирск, ул. Фрунзе, д. 5/2","Координаты адреса «630004, г. Новосибирск, ул. Фрунзе, д. 5/2»: **55.823956, 82.938543**",-,200,721.44
Yandex,"420107, г. Казань, ул. Татарстан, д. 20/12",55.781241 49.113295,number,200,155.42
DaData,"420107, г. Казань, ул. Татарстан, д. 20/12",,network error: 0,0,2238.1
GigaChat,"420107, г. Казань, ул. Татарстан, д. 20/12","Координаты указанного адреса примерно равны:

**latitude:** 55.8196  
**longitude:** 49.1155",-,200,378.35
Yandex,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13",56.324102 44.007639,number,200,147.77
DaData,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13",,network error: 0,0,2226.84
GigaChat,"603001, г. Нижний Новгород, ул. Пискунова, д. 21/13","Координаты адреса «603001, г. Нижний Новгород, ул. Пискунова, д. 21/13»: **56.3298° N, 43.9947° E**  
Или в нужном формате: `latitude longitude`: **56.3298, 43.9947**.",-,200,866.0
Yandex,"443099, г. Самара, ул. Галактионовская, д. 118/120",53.200544 50.109338,number,200,158.55
DaData,"443099, г. Самара, ул. Галактионовская, д. 118/120",,network error: 0,0,2232.12
GigaChat,"443099, г. Самара, ул. Галактионовская, д. 118/120","Координаты адреса «443099, г. Самара, ул. Галактионовская, д. 118/120»: **53.21944, 50.15639**",-,200,464.19
Yandex,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1",55.157999 61.385342,number,200,139.0
DaData,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1",,network error: 0,0,2220.69
GigaChat,"454091, г. Челябинск, ул. Сони Кривой, д. 38/1","Координаты адреса «454091, г. Челябинск, ул. Сони Кривой, д. 38/1»: **55.1333° N, 61.4167° E**  
Или в десятичном формате: **55.1333, 61.4167**.",-,200,604.86
Yandex,"644099, г. Омск, ул. Ленина, д. 9/12",54.985313 73.375174,number,200,237.13
DaData,"644099, г. Омск, ул. Ленина, д. 9/12",,network error: 0,0,2217.84
GigaChat,"644099, г. Омск, ул. Ленина, д. 9/12","Координаты адреса «644099, г. Омск, ул. Ленина, д. 9/12» примерно равны:

**latitude:** `55.0183°`  
**longitude:** `82.9244°`",-,200,540.89
Yandex,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73",47.221558 39.710638,number,200,174.4
DaData,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73",,network error: 0,0,2205.81
GigaChat,"344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73","Координаты адреса «344002, г. Ростов-на-Дону, ул. Б. Садовая, д. 45/73» примерно равны:

**latitude:** 47.2298  
**longitude:** 39.7031",-,200,533.28
Yandex,"55.753544, 37.621202",", Иран, Голестан",other,200,106.06
DaData,"55.753544, 37.621202",,,200,121.22
GigaChat,"55.753544, 37.621202","Полный почтовый адрес по указанным координатам определить невозможно без использования дополнительных навыков геокодирования. Однако ориентировочно эти координаты находятся в Москве, Россия. Точный адрес без обращения к дополнительным сервисам назвать нельзя.",-,200,430.74
Yandex,"59.939131, 30.315882",", Иран, Систан и Белуджистан",other,200,124.73
DaData,"59.939131, 30.315882",,,200,83.7
GigaChat,"59.939131, 30.315882","Полный почтовый адрес по указанным координатам определить невозможно без использования дополнительных навыков геокодирования. Однако ориентировочно эти координаты находятся в Санкт-Петербурге, Россия. Точный адрес без обращения к дополнительным сервисам назвать нельзя.",-,200,423.58
Yandex,"55.796289, 49.108980",", Казахстан, Актюбинская область, Темирский район, Алтыкарасуский сельский округ",other,200,143.57
DaData,"55.796289, 49.108980",,,200,90.0
GigaChat,"55.796289, 49.108980","Без использования дополнительных навыков у меня нет доступа к базам геокодирования и я не могу точно определить адрес по координатам. Рекомендую воспользоваться специализированными картографическими сервисами или гео-поисковыми системами, такими как Яндекс.Карты, Google Maps или 2ГИС.",-,200,518.19
Yandex,"56.328674, 44.002059",", Узбекистан, Республика Каракалпакстан, Кунградский район, аульский сход граждан Устюрт",other,200,135.37
DaData,"56.328674, 44.002059",,,200,75.42
GigaChat,"56.328674, 44.002059","Без использования дополнительных навыков у меня нет доступа к базам геокодирования и картам, чтобы точно определить адрес по указанным координатам. Рекомендую воспользоваться специализированными сервисами карт и геолокации, такими как Яндекс.Карты, Google Maps или 2ГИС.",-,200,701.16
Yandex,"54.989347, 73.368221",", Россия, Архангельская область, муниципальный округ Новая Земля, остров Южный",other,200,115.39
DaData,"54.989347, 73.368221",,,200,91.58
GigaChat,"54.989347, 73.368221","Без использования дополнительных навыков у меня нет доступа к базам данных геокодирования и я не могу точно определить адрес по координатам. Рекомендую воспользоваться специализированными картографическими сервисами или геоинформационными системами, такими как Яндекс.Карты, Google Maps или OpenStreetMap.",-,200,520.25
Yandex,"53.195538, 50.100202",", Казахстан, Западно-Казахстанская область, Сырымский район, Булдуртинский сельский округ, село Булдурта",other,200,107.52
DaData,"53.195538, 50.100202",,,200,91.84
GigaChat,"53.195538, 50.100202","Без использования дополнительных навыков у меня нет доступа к базам геокодирования и картам в режиме реального времени, поэтому я не могу точно определить адрес по указанным вами координатам. Рекомендую воспользоваться специализированными сервисами карт и геокодирования, такими как Яндекс.Карты, Google Maps или OpenStreetMap.",-,200,529.59
Yandex,"47.222531, 39.718705",", Азербайджан, Ходжавендский район",other,200,98.81
DaData,"47.222531, 39.718705",,,200,80.6
GigaChat,"47.222531, 39.718705","Без использования дополнительных навыков у меня нет доступа к базам данных с геокодированными адресами. Рекомендую воспользоваться специализированными сервисами карт или геоинформационными системами, такими как Яндекс.Карты, Google Maps или API картовых сервисов.",-,200,673.25
Yandex,"56.838002, 60.597295",", Россия, Пермский край, Чердынский муниципальный округ",other,200,89.99
DaData,"56.838002, 60.597295",,,200,94.62
GigaChat,"56.838002, 60.597295","Без использования дополнительных навыков у меня нет доступа к базам данных геокодирования и я не могу точно определить адрес по координатам. Рекомендую воспользоваться специализированными картографическими сервисами или гео-поисковыми системами, такими как Яндекс.Карты, Google Maps или 2ГИС.",-,200,520.94
